object_id,name,is_primary
dso/m102,Galàxia del Fus,1
dso/m11,Cúmul de l'Ànec Salvatge,1
dso/m20,Nebulosa Trifida,1
dso/m24,Núvol Estel·lar de Sagitari,1
dso/m27,Nebulosa de l'Halteri,1
dso/m33,Galàxia del Triangle,1
dso/m43,Nebulosa de De Mairan,1
dso/m63,Galàxia del Gira-sol,1
dso/m64,Galàxia de l'Ull Negre,1
dso/m74,Galàxia Fantasma,1
dso/m76,Nebulosa del Petit Halteri,1
dso/m8,Nebulosa de la Llacuna,1
dso/m81,Galàxia de Bode,1
dso/m82,Galàxia del Cigar,1
dso/m83,Galàxia del Molinet Austral,1
dso/m97,Nebulosa del Mussol,1
