object_id,name,is_primary
constellation/antlia,Vývěva,1
constellation/apus,Rajka,1
constellation/aquarius,Vodnář,1
constellation/aquila,Orel,1
constellation/ara,Oltář,1
constellation/aries,Beran,1
constellation/auriga,Vozka,1
constellation/bootes,Pastýř,1
constellation/caelum,Rydlo,1
constellation/camelopardalis,Žirafa,1
constellation/cancer,Rak,1
constellation/canes_venatici,Honicí psi,1
constellation/canis_major,Velký pes,1
constellation/canis_minor,Malý pes,1
constellation/capricornus,Kozoroh,1
constellation/carina,Lodní kýl,1
constellation/cassiopeia,Kasiopeja,1
constellation/centaurus,Kentaur,1
constellation/cepheus,Cefeus,1
constellation/cetus,Velryba,1
constellation/chamaeleon,Chameleon,1
constellation/circinus,Kružítko,1
constellation/columba,Holubice,1
constellation/coma_berenices,Vlasy Bereniky,1
constellation/corona_australis,Jižní koruna,1
constellation/corona_borealis,Severní koruna,1
constellation/corvus,Havran,1
constellation/crater,Pohár,1
constellation/crux,Jižní kříž,1
constellation/cygnus,Labuť,1
constellation/delphinus,Delfín,1
constellation/dorado,Mečoun,1
constellation/draco,Drak,1
constellation/equuleus,Koníček,1
constellation/fornax,Pec,1
constellation/gemini,Blíženci,1
constellation/grus,Jeřáb,1
constellation/hercules,Herkules,1
constellation/horologium,Hodiny,1
constellation/hydrus,Malý vodní had,1
constellation/indus,Indián,1
constellation/lacerta,Ještěrka,1
constellation/leo,Lev,1
constellation/leo_minor,Malý lev,1
constellation/lepus,Zajíc,1
constellation/libra,Váhy,1
constellation/lupus,Vlk,1
constellation/lynx,Rys,1
constellation/mensa,Tabulová hora,1
constellation/microscopium,Mikroskop,1
constellation/monoceros,Jednorožec,1
constellation/musca,Moucha,1
constellation/norma,Pravítko,1
constellation/octans,Oktant,1
constellation/ophiuchus,Hadonoš,1
constellation/pavo,Páv,1
constellation/pegasus,Pegas,1
constellation/phoenix,Fénix,1
constellation/pictor,Malíř,1
constellation/pisces,Ryby,1
constellation/piscis_austrinus,Jižní ryby,1
constellation/puppis,Záď lodi,1
constellation/pyxis,Kompas,1
constellation/reticulum,Síť,1
constellation/sagitta,Šíp,1
constellation/sagittarius,Střelec,1
constellation/scorpius,Štír,1
constellation/sculptor,Sochař,1
constellation/scutum,Štít,1
constellation/serpens_caput,Hlava hada,1
constellation/serpens_cauda,Ocas Hada,1
constellation/sextans,Sextant,1
constellation/taurus,Býk,1
constellation/telescopium,Dalekohled,1
constellation/triangulum,Trojúhelník,1
constellation/triangulum_australe,Jižní trojúhelník,1
constellation/tucana,Tukan,1
constellation/ursa_major,Velká medvědice,1
constellation/ursa_minor,Malá medvědice,1
constellation/vela,Plachty,1
constellation/virgo,Panna,1
constellation/volans,Létající ryba,1
constellation/vulpecula,Lištička,1
dso/blue_snowball_nebula,Modrá sněhová mlhovina,1
dso/coathanger,Věšák,1
dso/coathanger,Brocchinova hvězdokupa,0
dso/coma_star_cluster,Hvězdokupa ve Vlasech Bereniky,1
dso/coma_star_cluster,Hvězdokupa Vlasů Bereniky,0
dso/cygnus_x_1,Binární černá díra,1
