object_id,name,is_primary
constellation/pisces,Pysgod,1
constellation/piscis_austrinus,Pysgod Australis,1
constellation/sagittarius,Saethwr,1
constellation/sculptor,Cerflunydd,1
constellation/scutum,Ysgwyd,1
constellation/taurus,Tarw,1
constellation/ursa_major,Arth Fawr,1
constellation/ursa_minor,Arth Fach,1
constellation/virgo,Morwyddes,1
dso/blue_snowball_nebula,Nifwla Pêl Eira Las,1
dso/coathanger,Coathanger,1
dso/coathanger,Clwstwr Brocchi,0
dso/coma_star_cluster,Clwstwr Sêr Coma,1
dso/coma_star_cluster,Clwstwr Coma Berenices,0
dso/cygnus_x_1,Deuddyn Twll Du,1
dso/cygnus_x_1,Twll Du Stelaidd,0
dso/double_cluster,Clwstwr Dwbl,1
dso/double_cluster,h a χ Persei,0
dso/double_cluster,NGC 869 & NGC 884,0
dso/eta_carinae_nebula,Nifwl Eta Carinae,1
dso/eta_carinae_nebula,Nifwl Carina,0
dso/exposed_cranium_nebula,Nifwla Penglog Noeth,1
dso/ghost_of_jupiter,Ysbryd Iau,1
dso/hdf,Maes Dwfn Hubble,1
dso/hdf,Maes Dwfn Hubble,0
dso/helix_nebula,Nifwla Helix,1
dso/helix_nebula,Llygad Duw,0
dso/jewel_box,Blwch Gemau,1
dso/jewel_box,Blwch Gemau Herschel,0
dso/jewel_box,Clwstwr Kappa Crucis,0
dso/m1,Nifwl Cranc,1
dso/m101,Galaeth Pinwheel,1
dso/m102,Galaeth y Werthyd,1
dso/m104,Galaeth Sombrero,1
dso/m11,Clwstwr yr Hwyaden Wyllt,1
dso/m13,Clwstwr Amgrwn Hercules,1
dso/m13,Clwstwr Globwlaidd Hercwles,0
dso/m16,Nifwl Eryr,1
dso/m20,Niwla'r Trifid,1
dso/m24,Cwmwl Sêr Sagittarius,1
dso/m27,Niwla'r Dumbbell,1
dso/m31,Galaeth Andromeda,1
dso/m33,Galaeth Triangulum,1
dso/m42,Nifwla Orion,1
dso/m43,Niwla De Mairan,1
dso/m44,Clwstwr Cwch Gwenyn,1
dso/m44,Praesepe,0
dso/m45,Pleiades,1
dso/m45,Saith Chwaer,0
dso/m51,Galaeth Drobwll,1
dso/m57,Nifwl Cylch,1
dso/m6,Clwstwr Pili-pala,1
dso/m63,Galaeth Blodyn yr Haul,1
dso/m64,Galaeth y Llygad Du,1
dso/m7,Cynffon Sgorpion,1
dso/m7,Clwstwr Ptolemy,0
dso/m74,Galaeth Phantom,1
dso/m76,Niwla'r Dumbbell Bach,1
dso/m8,Niwla'r Morlyn,1
dso/m81,Galaeth Bode,1
dso/m82,Galaeth y Sigâr,1
dso/m83,Galaeth y Pinwheel Deheuol,1
dso/m97,Niwla'r Dylluan,1
dso/ngc_6543,Nifwl Llygad Gath,1
dso/north_america_nebula,Nifwla Gogledd America,1
dso/omega_centauri,Clwstwr Amgrwn Omega Centauri,1
dso/omega_centauri,ω Centauri,0
dso/saturn_nebula,Nifwla Sadwrn,1
dso/sculptor_galaxy,Galaeth y Cerflunydd,1
dso/sculptor_galaxy,Galaeth Ddoleri Arian,0
dso/sculptor_galaxy,Galaeth Darn Arian,0
dso/sgr_a_star,Sgr A*,1
dso/sgr_a_star,Twll Du,0
dso/sgr_a_star,Canolfan y Galaeth,0
dso/willman_1,Willman 1,1
dso/willman_1,Galaeth Beth Willman,0
planet/jupiter,Iau,1
planet/mars,Mawrth,1
planet/mercury,Mercher,1
planet/moon,Lleuad,1
planet/neptune,Neifion,1
planet/pluto,Plwton,1
planet/saturn,Sadwrn,1
planet/sun,Haul,1
planet/uranus,Wranws,1
planet/venus,Gwener,1
star/polaris,Polaris,1
star/polaris,Seren y Gogledd,0
star/polaris,Seren Pegwn,0
star/sirius,Sirius,1
star/sirius,Seren y Ci,0
