object_id,name,is_primary
constellation/aquarius,Vandmanden,1
constellation/sagittarius,Skytten,1
constellation/scorpius,Skorpionen,1
constellation/taurus,Tyren,1
constellation/tucana,Tukan,1
constellation/ursa_major,Stor Bjørn,1
constellation/ursa_minor,Lille Bjørn,1
constellation/vela,Sejlene,1
constellation/virgo,Jomfruen,1
dso/blue_snowball_nebula,Blå Snebold-tågen,1
dso/coathanger,Klædehængeren,1
dso/coathanger,Brocchi's Cluster,0
dso/coma_star_cluster,Coma-stjernethoben,1
dso/coma_star_cluster,Coma Berenices Cluster,0
dso/cygnus_x_1,Sort hul-binær,1
dso/cygnus_x_1,Stellart sort hul,0
dso/double_cluster,Dobbelt-hoben,1
dso/double_cluster,h og χ Persei,0
dso/double_cluster,NGC 869 & NGC 884,0
dso/eta_carinae_nebula,Eta Carinae-tågen,1
dso/eta_carinae_nebula,Carina-tågen,0
dso/exposed_cranium_nebula,Eksponeret Kranium-tågen,1
dso/ghost_of_jupiter,Jupiters Spøgelse,1
dso/helix_nebula,Helix-tågen,1
dso/helix_nebula,Guds Øje,0
dso/hyades,Hyader,1
dso/jewel_box,Juvelkassen,1
dso/jewel_box,Herschels Juvelkasse,0
dso/jewel_box,Kappa Crucis-hoben,0
dso/lmc,Store Magellanske Sky,1
dso/lmc,Nubecula Major,0
dso/m1,Krebsnebulosa,1
dso/m101,Møllegalaksen,1
dso/m102,Spindelgalaksen,1
dso/m104,Sombrerogalaksen,1
dso/m11,Vildandehoben,1
dso/m13,Herculeskulestjernehoben,1
dso/m13,Hercules-kugleklyngen,0
dso/m16,Ørnenebulosa,1
dso/m20,Trifidtågen,1
dso/m24,Skytten Stjernesky,1
dso/m27,Håndvægtstågen,1
dso/m31,Andromedagalaksen,1
dso/m33,Trekantgalaksen,1
dso/m42,Orionnebulosa,1
dso/m43,De Mairans Tåge,1
dso/m44,Bihoben,1
dso/m44,Praesepe,0
dso/m45,Pleiaderne,1
dso/m45,De Syv Søstre,0
dso/m51,Hvirvelvindsgalaksen,1
dso/m57,Ringnebulosa,1
dso/m6,Sommerfuglethoben,1
dso/m63,Solsikkegalaksen,1
dso/m64,Sortøjegalaksen,1
dso/m7,Skorpionens Hale,1
dso/m7,Ptolemæus-klyngen,0
dso/m74,Fantomgalaksen,1
dso/m76,Lille Håndvægtståge,1
dso/m8,Lagunetågen,1
dso/m81,Bodes Galakse,1
dso/m82,Cigargalaksen,1
dso/m83,Sydlige Pinwheel,1
dso/m97,Uglens Tåge,1
dso/ngc_6543,Katteøjenebulosa,1
dso/north_america_nebula,Nordamerika-tågen,1
dso/omega_centauri,Omega Centauri-kulestjernehoben,1
dso/omega_centauri,ω Centauri,0
dso/saturn_nebula,Saturn-tågen,1
dso/sculptor_galaxy,Skulptur-galaksen,1
dso/sculptor_galaxy,Sølvdollar-galaksen,0
dso/sculptor_galaxy,Sølvmynt-galaksen,0
dso/sgr_a_star,Sgr A*,1
dso/sgr_a_star,Sort hul,0
dso/sgr_a_star,Galaktisk centrum,0
dso/smc,Lille Magellanske Sky,1
dso/smc,Nubecula Minor,0
dso/tarantula_nebula,Tarantula-tågen,1
dso/tarantula_nebula,30 Doradus,0
dso/willman_1,Willman 1,1
dso/willman_1,Beth Willman-galaksen,0
planet/mercury,Merkur,1
planet/moon,Månen,1
planet/neptune,Neptun,1
planet/sun,Solen,1
shower/aquariids,Eta Aquariiderne,1
shower/deltaaquariids,Delta Aquariiderne,1
shower/geminids,Geminiderne,1
shower/leonids,Leoniderne,1
shower/lyrids,Lyriderne,1
shower/orionids,Orioniderne,1
shower/perseids,Perseiderne,1
shower/puppidvelids,Puppid-Veliderne,1
shower/quadrantids,Kvadrantiderne,1
shower/ursids,Ursiderne,1
star/polaris,Polaris,1
star/polaris,Nordstjernen,0
star/polaris,Polstjernen,0
star/sirius,Sirius,1
star/sirius,Hundestjernen,0
