object_id,name,is_primary
constellation/andromeda,Andrómeda,1
constellation/antlia,Máquina Neumática,1
constellation/apus,Ave Paraíso,1
constellation/aquarius,Acuario,1
constellation/aquila,Águila,1
constellation/ara,Altar,1
constellation/auriga,Áuriga,1
constellation/bootes,Boyero,1
constellation/caelum,Cincel,1
constellation/camelopardalis,Jirafa,1
constellation/cancer,Cáncer,1
constellation/canes_venatici,Lebreles,1
constellation/canis_major,Can Mayor,1
constellation/canis_minor,Can Menor,1
constellation/capricornus,Capricornio,1
constellation/cassiopeia,Casiopea,1
constellation/centaurus,Centauro,1
constellation/cepheus,Cefeo,1
constellation/cetus,Ballena,1
constellation/chamaeleon,Camaleón,1
constellation/circinus,Compás,1
constellation/columba,Paloma,1
constellation/coma_berenices,Cabellera Berenice,1
constellation/corona_australis,Corona Austral,1
constellation/corona_borealis,Corona Boreal,1
constellation/corvus,Cuervo,1
constellation/crater,Copa,1
constellation/crux,Cruz,1
constellation/cygnus,Cisne,1
constellation/delphinus,Delfín,1
constellation/dorado,Dorada,1
constellation/draco,Dragón,1
constellation/equuleus,Caballito,1
constellation/eridanus,Eridano,1
constellation/fornax,Horno,1
constellation/gemini,Géminis,1
constellation/grus,Grulla,1
constellation/hercules,Hércules,1
constellation/horologium,Reloj,1
constellation/hydra,Hidra,1
constellation/hydrus,Hidra,1
constellation/indus,Indio,1
constellation/lacerta,Lagarto,1
constellation/leo_minor,León Menor,1
constellation/lepus,Liebre,1
constellation/lupus,Lobo,1
constellation/lynx,Lince,1
constellation/lyra,Lira,1
constellation/mensa,Mesa,1
constellation/microscopium,Microscopio,1
constellation/monoceros,Unicornio,1
constellation/musca,Mosca,1
constellation/norma,Escuadra,1
constellation/octans,Octante,1
constellation/ophiuchus,Ofiuco,1
constellation/orion,Orión,1
constellation/pegasus,Pegaso,1
constellation/perseus,Perseo,1
constellation/phoenix,Fénix,1
constellation/pictor,Pintor,1
constellation/pisces,Piscis,1
constellation/piscis_austrinus,Pez del Sur,1
constellation/puppis,Popa,1
constellation/pyxis,Brújula,1
constellation/reticulum,Retículo,1
constellation/sagitta,Flecha,1
constellation/sagittarius,Sagitario,1
constellation/scorpius,Escorpio,1
constellation/sculptor,Escultor,1
constellation/scutum,Escudo,1
constellation/serpens_caput,Serpens Cabeza,1
constellation/serpens_cauda,Serpens Cola,1
constellation/sextans,Sextante,1
constellation/taurus,Tauro,1
constellation/telescopium,Telescopio,1
constellation/triangulum,Triángulo,1
constellation/triangulum_australe,Triángulo Austral,1
constellation/tucana,Tucán,1
constellation/ursa_major,Osa Mayor,1
constellation/ursa_minor,Osa Menor,1
constellation/volans,Pez Volador,1
constellation/vulpecula,Zorrilla,1
dso/blue_snowball_nebula,Nebulosa de la Bola de Nieve Azul,1
dso/coathanger,Percha,1
dso/coathanger,Cúmulo de Brocchi,0
dso/coma_star_cluster,Cúmulo de Coma,1
dso/coma_star_cluster,Cúmulo de Coma Berenices,0
dso/cygnus_x_1,Sistema Binario de Agujero Negro,1
dso/cygnus_x_1,Agujero Negro Estelar,0
dso/double_cluster,Cúmulo Doble,1
dso/double_cluster,h y χ Persei,0
dso/double_cluster,NGC 869 y NGC 884,0
dso/eta_carinae_nebula,Nebulosa Eta Carinae,1
dso/eta_carinae_nebula,Nebulosa Carina,0
dso/exposed_cranium_nebula,Nebulosa del Cráneo Expuesto,1
dso/ghost_of_jupiter,Fantasma de Júpiter,1
dso/hdf,Campo Profundo del Hubble,1
dso/hdf,Campo Profundo del Hubble,0
dso/helix_nebula,Nebulosa de la Hélice,1
dso/helix_nebula,Ojo de Dios,0
dso/hyades,Híades,1
dso/jewel_box,Caja de Joyas,1
dso/jewel_box,Caja de Joyas de Herschel,0
