object_id,name,is_primary
constellation/telescopium,Teleskopium,1
dso/blue_snowball_nebula,Nebula Bola Salju Biru,1
dso/coathanger,Coathanger,1
dso/coathanger,Gugus Brocchi,0
dso/coma_star_cluster,Gugus Bintang Coma,1
dso/coma_star_cluster,Gugus Coma Berenices,0
dso/cygnus_x_1,Biner Lubang Hitam,1
dso/cygnus_x_1,Lubang Hitam Bintang,0
dso/double_cluster,Gugus Ganda,1
dso/double_cluster,h dan χ Persei,0
dso/double_cluster,NGC 869 & NGC 884,0
dso/eta_carinae_nebula,Nebula Eta Carinae,1
dso/eta_carinae_nebula,Nebula Carina,0
dso/exposed_cranium_nebula,Nebula Tengkorak Terbuka,1
dso/ghost_of_jupiter,Hantu Jupiter,1
dso/helix_nebula,Nebula Helix,1
dso/helix_nebula,Mata Tuhan,0
dso/jewel_box,Kotak Permata,1
dso/jewel_box,Kotak Permata Herschel,0
dso/jewel_box,Gugus Kappa Crucis,0
dso/m1,Nebula Kepiting,1
dso/m101,Galaksi Pinwheel,1
dso/m102,Galaksi Spindel,1
dso/m104,Galaksi Sombrero,1
dso/m11,Gugus Bebek Liar,1
dso/m13,Gugus Globular Hercules,1
dso/m13,Gugus Globular Hercules,0
dso/m16,Nebula Elang,1
dso/m20,Nebula Trifid,1
dso/m24,Awan Bintang Sagitarius,1
dso/m27,Nebula Dumbbell,1
dso/m31,Galaksi Andromeda,1
dso/m33,Galaksi Triangulum,1
dso/m42,Nebula Orion,1
dso/m43,Nebula De Mairan,1
dso/m51,Galaksi Whirlpool,1
dso/m57,Nebula Cincin,1
dso/m63,Galaksi Bunga Matahari,1
dso/m64,Galaksi Mata Hitam,1
dso/m7,Scorpion's Tail,1
dso/m7,Gugus Ptolemy,0
dso/m74,Galaksi Hantu,1
dso/m76,Nebula Dumbbell Kecil,1
dso/m8,Nebula Laguna,1
dso/m81,Galaksi Bode,1
dso/m82,Galaksi Cerutu,1
dso/m83,Galaksi Kincir Angin Selatan,1
dso/m97,Nebula Burung Hantu,1
dso/ngc_6543,Nebula Mata Kucing,1
dso/north_america_nebula,Nebula Amerika Utara,1
dso/omega_centauri,Gugus Globular Omega Centauri,1
dso/omega_centauri,ω Centauri,0
dso/saturn_nebula,Nebula Saturnus,1
dso/sculptor_galaxy,Galaksi Sculptor,1
dso/sculptor_galaxy,Galaksi Dolar Perak,0
dso/sculptor_galaxy,Galaksi Koin Perak,0
dso/sgr_a_star,Sgr A*,1
dso/sgr_a_star,Lubang Hitam,0
dso/sgr_a_star,Pusat Galaksi,0
dso/tarantula_nebula,Nebula Tarantula,1
dso/tarantula_nebula,30 Doradus,0
dso/willman_1,Willman 1,1
dso/willman_1,Galaksi Beth Willman,0
planet/mercury,Merkurius,1
planet/moon,Bulan,1
planet/neptune,Neptunus,1
planet/saturn,Saturnus,1
planet/sun,Matahari,1
star/polaris,Polaris,1
star/polaris,Bintang Utara,0
star/polaris,Bintang Kutub,0
star/sirius,Sirius,1
star/sirius,Bintang Anjing,0
