object_id,name,is_primary
constellation/andromeda,アンドロメダ座,1
constellation/antlia,ポンプ座,1
constellation/apus,ふうちょう座,1
constellation/aquarius,みずがめ座,1
constellation/aquila,わし座,1
constellation/ara,さいだん座,1
constellation/aries,おひつじ座,1
constellation/auriga,ぎょしゃ座,1
constellation/bootes,うしかい座,1
constellation/caelum,ちょうこくぐ座,1
constellation/camelopardalis,きりん座,1
constellation/cancer,かに座,1
constellation/canes_venatici,りょうけん座,1
constellation/canis_major,おおいぬ座,1
constellation/canis_minor,こいぬ座,1
constellation/capricornus,やぎ座,1
constellation/carina,りゅうこつ座,1
constellation/cassiopeia,カシオペヤ座,1
constellation/centaurus,ケンタウルス座,1
constellation/cepheus,ケフェウス座,1
constellation/cetus,くじら座,1
constellation/chamaeleon,カメレオン座,1
constellation/circinus,コンパス座,1
constellation/columba,はと座,1
constellation/coma_berenices,かみのけ座,1
constellation/corona_australis,みなみのかんむり座,1
constellation/corona_borealis,かんむり座,1
constellation/corvus,からす座,1
constellation/crater,コップ座,1
constellation/crux,みなみじゅうじ座,1
constellation/cygnus,はくちょう座,1
constellation/delphinus,いるか座,1
constellation/dorado,かじき座,1
constellation/draco,りゅう座,1
constellation/equuleus,こうま座,1
constellation/eridanus,エリダヌス座,1
constellation/fornax,ろ座,1
constellation/gemini,ふたご座,1
constellation/grus,つる座,1
constellation/hercules,ヘルクレス座,1
constellation/horologium,とけい座,1
constellation/hydra,うみへび座,1
constellation/hydrus,みずへび座,1
constellation/indus,インディアン座,1
constellation/lacerta,とかげ座,1
constellation/leo,しし座,1
constellation/leo_minor,こじし座,1
constellation/lepus,うさぎ座,1
constellation/libra,てんびん座,1
constellation/lupus,おおかみ座,1
constellation/lynx,やまねこ座,1
constellation/lyra,こと座,1
constellation/mensa,テーブルさん座,1
constellation/microscopium,けんびきょう座,1
constellation/monoceros,いっかくじゅう座,1
constellation/musca,はえ座,1
constellation/norma,じょうぎ座,1
constellation/octans,はちぶんぎ座,1
constellation/ophiuchus,へびつかい座,1
constellation/orion,オリオン座,1
constellation/pavo,くじゃく座,1
constellation/pegasus,ペガスス座,1
constellation/perseus,ペルセウス座,1
constellation/phoenix,ほうおう座,1
constellation/pictor,がか座,1
constellation/pisces,うお座,1
constellation/piscis_austrinus,みなみのうお座,1
constellation/puppis,とも座,1
constellation/pyxis,らしんばん座,1
constellation/reticulum,レチクル座,1
constellation/sagitta,や座,1
constellation/sagittarius,いて座,1
constellation/scorpius,さそり座,1
constellation/sculptor,ちょうこくしつ座,1
constellation/scutum,たて座,1
constellation/serpens_caput,へび座頭部,1
constellation/serpens_cauda,へび座尾部,1
constellation/sextans,ろくぶんぎ座,1
constellation/taurus,おうし座,1
constellation/telescopium,ぼうえんきょう座,1
constellation/triangulum,さんかく座,1
constellation/triangulum_australe,みなみのさんかく座,1
constellation/tucana,きょしちょう座,1
constellation/ursa_major,おおぐま座,1
constellation/ursa_minor,こぐま座,1
constellation/vela,ほ座,1
constellation/virgo,おとめ座,1
constellation/volans,とびうお座,1
constellation/vulpecula,こぎつね座,1
dso/blue_snowball_nebula,青い雪玉星雲,1
dso/centaurus_a,ケンタウルス座A,1
