object_id,name,is_primary
constellation/andromeda,안드로메다자리,1
constellation/antlia,펌프자리,1
constellation/apus,극락조자리,1
constellation/aquarius,물병자리,1
constellation/aquila,독수리자리,1
constellation/ara,제단자리,1
constellation/aries,양자리,1
constellation/auriga,마차부자리,1
constellation/bootes,목자자리,1
constellation/caelum,조각칼자리,1
constellation/camelopardalis,기린자리,1
constellation/cancer,게자리,1
constellation/canes_venatici,사냥개자리,1
constellation/canis_major,큰개자리,1
constellation/canis_minor,작은개자리,1
constellation/capricornus,염소자리,1
constellation/carina,용골자리,1
constellation/cassiopeia,카시오페이아자리,1
constellation/centaurus,센타우루스자리,1
constellation/cepheus,케페우스자리,1
constellation/cetus,고래자리,1
constellation/chamaeleon,카멜레온자리,1
constellation/circinus,컴퍼스자리,1
constellation/columba,비둘기자리,1
constellation/coma_berenices,머리털자리,1
constellation/corona_australis,남쪽왕관자리,1
constellation/corona_borealis,북쪽왕관자리,1
constellation/corvus,까마귀자리,1
constellation/crater,컵자리,1
constellation/crux,남십자자리,1
constellation/cygnus,백조자리,1
constellation/delphinus,돌고래자리,1
constellation/dorado,황새치자리,1
constellation/draco,용자리,1
constellation/equuleus,조랑말자리,1
constellation/eridanus,에리다누스자리,1
constellation/fornax,화로자리,1
constellation/gemini,쌍둥이자리,1
constellation/grus,두루미자리,1
constellation/hercules,헤르쿨레스자리,1
constellation/horologium,시계자리,1
constellation/hydra,바다뱀자리,1
constellation/hydrus,물뱀자리,1
constellation/indus,인디언자리,1
constellation/lacerta,도마뱀자리,1
constellation/leo,사자자리,1
constellation/leo_minor,작은사자자리,1
constellation/lepus,토끼자리,1
constellation/libra,천칭자리,1
constellation/lupus,이리자리,1
constellation/lynx,살쾡이자리,1
constellation/lyra,거문고자리,1
constellation/mensa,테이블산자리,1
constellation/microscopium,현미경자리,1
constellation/monoceros,외뿔소자리,1
constellation/musca,파리자리,1
constellation/norma,삼각자자리,1
constellation/octans,팔분의자리,1
constellation/ophiuchus,땅꾼자리,1
constellation/orion,오리온자리,1
constellation/pavo,공작자리,1
constellation/pegasus,페가수스자리,1
constellation/perseus,페르세우스자리,1
constellation/phoenix,불사조자리,1
constellation/pictor,화가자리,1
constellation/pisces,물고기자리,1
constellation/piscis_austrinus,남쪽물고기자리,1
constellation/puppis,고물자리,1
constellation/pyxis,나침반자리,1
constellation/reticulum,그물자리,1
constellation/sagitta,화살자리,1
constellation/sagittarius,궁수자리,1
