object_id,name,is_primary
dso/blue_snowball_nebula,Nebula Bola Salju Biru,1
dso/coathanger,Coathanger,1
dso/coathanger,Kelompok Brocchi,0
dso/coma_star_cluster,Gugusan Bintang Coma,1
dso/coma_star_cluster,Kelompok Coma Berenices,0
dso/cygnus_x_1,Binari Lubang Hitam,1
dso/cygnus_x_1,Lubang Hitam Bintang,0
dso/double_cluster,Gugusan Ganda,1
dso/double_cluster,h dan χ Persei,0
dso/double_cluster,NGC 869 & NGC 884,0
dso/eta_carinae_nebula,Nebula Eta Carinae,1
dso/eta_carinae_nebula,Nebula Carina,0
dso/exposed_cranium_nebula,Nebula Tengkorak Terbuka,1
dso/ghost_of_jupiter,Hantu Jupiter,1
dso/hdf,Medan Dalam Hubble,1
dso/hdf,Medan Dalam Hubble,0
dso/helix_nebula,Nebula Helix,1
dso/helix_nebula,Mata Tuhan,0
dso/jewel_box,Kotak Permata,1
dso/jewel_box,Kotak Permata Herschel,0
dso/jewel_box,Gugusan Kappa Crucis,0
dso/lmc,Awan Magellan Besar,1
dso/lmc,Nubecula Major,0
dso/m1,Nebula Kepiting,1
dso/m101,Galaksi Pinwheel,1
dso/m102,Galaksi Spindle,1
dso/m104,Galaksi Sombrero,1
dso/m11,Gugusan Itik Liar,1
dso/m13,Kelompok Globular Hercules,1
dso/m13,Kelompok Globular Hercules,0
dso/m16,Nebula Helang,1
dso/m20,Nebula Trifid,1
dso/m24,Awan Bintang Sagittarius,1
dso/m27,Nebula Dumbbell,1
dso/m31,Galaksi Andromeda,1
dso/m33,Galaksi Triangulum,1
dso/m42,Nebula Orion,1
dso/m43,Nebula De Mairan,1
dso/m51,Galaksi Whirlpool,1
dso/m57,Nebula Cincin,1
dso/m6,Kelompok Rama-rama,1
dso/m63,Galaksi Bunga Matahari,1
dso/m64,Galaksi Mata Hitam,1
dso/m7,Ekor Kalajengking,1
dso/m7,Kelompok Ptolemy,0
dso/m74,Galaksi Hantu,1
dso/m76,Nebula Dumbbell Kecil,1
dso/m8,Nebula Lagun,1
dso/m81,Galaksi Bode,1
dso/m82,Galaksi Cerut,1
dso/m83,Galaksi Kincir Angin Selatan,1
dso/m97,Nebula Burung Hantu,1
dso/ngc_6543,Nebula Mata Kucing,1
dso/north_america_nebula,Nebula Amerika Utara,1
dso/omega_centauri,Kelompok Globular Omega Centauri,1
dso/omega_centauri,ω Centauri,0
dso/saturn_nebula,Nebula Saturnus,1
dso/sculptor_galaxy,Galaksi Sculptor,1
dso/sculptor_galaxy,Galaksi Dolar Perak,0
dso/sculptor_galaxy,Galaksi Koin Perak,0
dso/sgr_a_star,Sgr A*,1
dso/sgr_a_star,Lubang Hitam,0
dso/sgr_a_star,Pusat Galaksi,0
dso/smc,Awan Magellan Kecil,1
dso/smc,Nubecula Minor,0
dso/tarantula_nebula,Nebula Tarantula,1
dso/tarantula_nebula,30 Doradus,0
dso/willman_1,Willman 1,1
dso/willman_1,Galaksi Beth Willman,0
planet/jupiter,Musytari,1
planet/mars,Marikh,1
planet/mercury,Merkuri,1
planet/moon,Bulan,1
planet/neptune,Neptun,1
planet/saturn,Zuhal,1
planet/sun,Matahari,1
star/polaris,Polaris,1
star/polaris,Bintang Utara,0
star/polaris,Bintang Kutub,0
star/sirius,Sirius,1
star/sirius,Bintang Anjing,0
