object_id,name,is_primary
constellation/andromeda,Andromeda,1
constellation/antlia,Luftpumpen,1
constellation/apus,Paradisfuglen,1
constellation/aquarius,Vannmannen,1
constellation/aquila,Ørnen,1
constellation/ara,Alteret,1
constellation/aries,Væren,1
constellation/auriga,Kusken,1
constellation/bootes,Bjørnevokteren,1
constellation/caelum,Meiselen,1
constellation/camelopardalis,Giraffen,1
constellation/cancer,Krepsen,1
constellation/canes_venatici,Jakthundene,1
constellation/canis_major,Store hund,1
constellation/canis_minor,Lille hund,1
constellation/capricornus,Steinbukken,1
constellation/carina,Kjølen,1
constellation/cassiopeia,Kassiopeia,1
constellation/centaurus,Kentauren,1
constellation/cepheus,Kefeus,1
constellation/cetus,Hvalfisken,1
constellation/chamaeleon,Kameleonen,1
constellation/circinus,Passeren,1
constellation/columba,Duen,1
constellation/coma_berenices,Berenikes hår,1
constellation/corona_australis,Sydlige krone,1
constellation/corona_borealis,Nordlige krone,1
constellation/corvus,Ravnen,1
constellation/crater,Begeret,1
constellation/crux,Sydkorset,1
constellation/cygnus,Svanen,1
constellation/delphinus,Delfinen,1
constellation/dorado,Gullfisken,1
constellation/draco,Dragen,1
constellation/equuleus,Føllet,1
constellation/eridanus,Floden,1
constellation/fornax,Smelteovnen,1
constellation/gemini,Tvillingene,1
constellation/grus,Tranen,1
constellation/hercules,Herkules,1
constellation/horologium,Uret,1
constellation/hydra,Vannslangen,1
constellation/hydrus,Sydlige vannslange,1
constellation/indus,Indianeren,1
constellation/lacerta,Firfislen,1
constellation/leo,Løven,1
constellation/leo_minor,Lille løve,1
constellation/lepus,Haren,1
constellation/libra,Vekten,1
constellation/lupus,Ulven,1
constellation/lynx,Gaupen,1
constellation/lyra,Lyren,1
constellation/mensa,Bordet,1
constellation/microscopium,Mikroskopet,1
constellation/monoceros,Enhjørningen,1
constellation/musca,Fluen,1
constellation/norma,Vinkelhaken,1
constellation/octans,Oktanten,1
constellation/ophiuchus,Slangebæreren,1
constellation/orion,Orion,1
constellation/pavo,Påfuglen,1
constellation/pegasus,Pegasus,1
constellation/perseus,Persevs,1
constellation/phoenix,Føniks,1
constellation/pictor,Maleren,1
constellation/pisces,Fiskene,1
constellation/piscis_austrinus,Sydlige fisk,1
constellation/puppis,Akterstavnen,1
constellation/pyxis,Kompasset,1
constellation/reticulum,Nettet,1
constellation/sagitta,Pilen,1
constellation/sagittarius,Skytten,1
constellation/scorpius,Skorpionen,1
constellation/sculptor,Billedhuggeren,1
constellation/scutum,Skjoldet,1
constellation/serpens_caput,Slangens hode,1
constellation/serpens_cauda,Slangens hale,1
constellation/sextans,Sekstanten,1
constellation/taurus,Tyren,1
constellation/telescopium,Teleskopet,1
constellation/triangulum,Triangelet,1
constellation/triangulum_australe,Sydlige triangelet,1
constellation/tucana,Tukanen,1
constellation/ursa_major,Store bjørn,1
constellation/ursa_minor,Lille bjørn,1
constellation/vela,Seilet,1
constellation/virgo,Jomfruen,1
constellation/volans,Flygefisken,1
constellation/vulpecula,Reven,1
dso/blue_snowball_nebula,Blå snøballnebula,1
dso/centaurus_a,Centaurus A,1
dso/coathanger,Kleshengeren,1
dso/coathanger,Broccis klynge,0
dso/coma_star_cluster,Coma-stjernehoben,1
dso/coma_star_cluster,Coma Berenices-klyngen,0
dso/cygnus_x_1,Svart hull-binær,1
dso/cygnus_x_1,Stellart svart hull,0
dso/double_cluster,Dobbelthoben,1
dso/double_cluster,h og χ Persei,0
dso/double_cluster,NGC 869 & NGC 884,0
dso/eta_carinae_nebula,Eta Carinae-tåken,1
dso/eta_carinae_nebula,Carina-tåken,0
dso/exposed_cranium_nebula,Eksponert hodeskalle-nebula,1
dso/ghost_of_jupiter,Jupiters gjenferd,1
dso/hdf,Hubble Deep Field,1
dso/hdf,Hubble Deep Field,0
dso/helix_nebula,Helix-tåken,1
dso/helix_nebula,Guds øye,0
dso/hyades,Hyader,1
dso/jewel_box,Juvelkassen,1
dso/jewel_box,Herschels juvelkasse,0
dso/jewel_box,Kappa Crucis-hoben,0
dso/lmc,Store Magellanske Sky,1
dso/lmc,Nubecula Major,0
dso/m1,Krabbetåken,1
dso/m101,Spinneteingalaksen,1
dso/m102,Spindelgalaksen,1
dso/m104,Sombrero-galaksen,1
dso/m11,Villandhopen,1
dso/m13,Herkules kulehop,1
dso/m13,Hercules globulærklynge,0
dso/m16,Ørnetåken,1
dso/m20,Trifidtåken,1
dso/m24,Skyttens stjernesky,1
dso/m27,Hanteltåken,1
dso/m31,Andromedagalaksen,1
dso/m33,Triangelgalaksen,1
dso/m40,Winnecke 4,1
dso/m42,Orion-tåken,1
dso/m43,De Mairans tåke,1
dso/m44,Bikubehopen,1
dso/m44,Krybben,0
dso/m45,Pleiadene,1
dso/m45,De syv søstre,0
dso/m51,Malstrømgalaksen,1
dso/m57,Ringtåken,1
dso/m6,Sommerfuglhopen,1
dso/m63,Solsikkegalaksen,1
dso/m64,Svarteøye-galaksen,1
dso/m7,Skorpionens hale,1
dso/m7,Ptolemaios-klyngen,0
dso/m74,Fantomgalaksen,1
dso/m76,Lille Hanteltåken,1
dso/m8,Lagunetåken,1
dso/m81,Bodes galakse,1
dso/m82,Sigargalaksen,1
dso/m83,Sørlige Pinwheel-galaksen,1
dso/m97,Ugletåken,1
dso/n47_tucanae,47 Tucanae,1
dso/ngc_6543,Kattøyetåken,1
dso/north_america_nebula,Nord-Amerika-tåken,1
dso/omega_centauri,Omega Centauri kulehop,1
dso/omega_centauri,ω Centauri,0
dso/saturn_nebula,Saturn-tåken,1
dso/sculptor_galaxy,Bildhugger-galaksen,1
dso/sculptor_galaxy,Sølvdollargalaksen,0
dso/sculptor_galaxy,Sølvmynten-galaksen,0
dso/sgr_a_star,Sgr A*,1
dso/sgr_a_star,Svart hull,0
dso/sgr_a_star,Galaktisk sentrum,0
dso/smc,Lille Magellanske Sky,1
dso/smc,Nubecula Minor,0
dso/t_crb,T Coronae Borealis,1
dso/t_crb,Blaze Star,0
dso/tarantula_nebula,Tarantula-tåken,1
dso/tarantula_nebula,30 Doradus,0
dso/willman_1,Willman 1,1
dso/willman_1,Beth Willman-galaksen,0
moon/ariel,Ariel,1
moon/callisto,Callisto,1
moon/deimos,Deimos,1
moon/dione,Dione,1
moon/europa,Europa,1
moon/ganymede,Ganymedes,1
moon/iapetus,Iapetus,1
moon/io,Io,1
moon/oberon,Oberon,1
moon/phobos,Phobos,1
moon/rhea,Rhea,1
moon/tethys,Tethys,1
moon/titan,Titan,1
moon/titania,Titania,1
moon/triton,Triton,1
moon/umbriel,Umbriel,1
planet/jupiter,Jupiter,1
planet/mars,Mars,1
planet/mercury,Merkur,1
planet/moon,Månen,1
planet/neptune,Neptun,1
planet/pluto,Pluto,1
planet/saturn,Saturn,1
planet/sun,Solen,1
planet/uranus,Uranus,1
planet/venus,Venus,1
shower/aquariids,Eta-Aquaridene,1
shower/deltaaquariids,Delta-Aquaridene,1
shower/geminids,Geminidene,1
shower/leonids,Leonidene,1
shower/lyrids,Lyridene,1
shower/orionids,Orionidene,1
shower/perseids,Perseidene,1
shower/puppidvelids,Puppid-velidene,1
shower/quadrantids,Quadrantidene,1
shower/ursids,Ursidene,1
star/achernar,Achernar,1
star/acrux,Acrux,1
star/adhara,Adhara,1
star/alcyone,Alkyone,1
star/aldebaran,Aldebaran,1
star/alderamin,Alderamin,1
star/algenib,Algenib,1
star/algieba,Algieba,1
star/algol,Algol,1
star/alhena,Alhena,1
star/alioth,Alioth,1
star/alkaid,Alkaid,1
star/alnair,Alnair,1
star/alnath,Alnath,1
star/alnath,Elnath,0
star/alnilam,Alnilam,1
star/alphard,Alphard,1
star/alphekka,Alphekka,1
star/alphekka,Alphecca,0
star/alpheratz,Alpheratz,1
star/altair,Altair,1
star/ankaa,Ankaa,1
star/antares,Antares,1
star/arcturus,Arcturus,1
star/arneb,Arneb,1
star/betelgeuse,Betelgeuse,1
star/canopus,Canopus,1
star/capella,Capella,1
star/caph,Caph,1
star/castor,Castor,1
star/deneb,Deneb,1
star/denebola,Denebola,1
star/diphda,Diphda,1
star/dubhe,Dubhe,1
star/e_lyrae,ε Lyrae,1
star/enif,Enif,1
star/etamin,Etamin,1
star/etamin,Eltanin,0
star/fomalhaut,Fomalhaut,1
star/hadar,Hadar,1
star/hamal,Hamal,1
star/izar,Izar,1
star/j003712+535400,Fulu,1
star/j004912+574912,Achird,1
star/j005624+591048,Castula,1
star/j010824-551500,Wurren,1
star/j011348+073448,Revati,1
star/j012212+453148,Adhil,1
star/j012548+601424,Ruchbah,1
star/j013112+152100,Alpherg,1
star/j013636+412436,Titawin,1
star/j013748+483748,Nembus,1
star/j014536+090936,Torcular,1
star/j015136-101948,Baten Kaitos,1
star/j015248+293448,Mothallah,1
star/j015436+204836,Sheratan,1
star/j015436+634012,Segin,1
star/j020148+024536,Alrescha,1
star/j020336+421948,Almach,1
star/j024312+031424,Kaffaljidhma,1
star/j024800+291500,Lilii Borea,1
star/j024948+271536,Bharani,1
star/j025024+555400,Miram,1
star/j025100-210000,Angetenar,1
star/j025624-085400,Azha,1
star/j025812-401800,Acamar,1
star/j030936+445136,Misam,1
star/j031124+194348,Botein,1
star/j031200-285924,Dalim,1
star/j031536-084912,Zibal,1
star/j033300-092736,Ran,1
star/j034312-094612,Rana,1
star/j034424+321724,Atik,1
star/j034500+240636,Electra,1
star/j034500+241724,Celaeno,1
star/j034500+242812,Taygeta,1
star/j034536+242212,Maia,1
star/j034612+235700,Merope,1
star/j034612+243300,Asterope,1
star/j034912+240300,Atlas,1
star/j034912+240824,Pleione,1
star/j035812-133036,Zaurak,1
star/j035848+354724,Menkib,1
star/j041200-065024,Beid,1
star/j041500-073824,Keid,1
star/j041948+153748,Prima Hyadum,1
star/j042248+173224,Secunda Hyadum,1
star/j042400-340112,Beemim,1
star/j042848+155212,Chamukuy,1
star/j042848+191048,Ain,1
star/j043524-303336,Theemin,1
star/j043824-141800,Sceptrum,1
star/j044948+065736,Tabit,1
star/j045700+331012,Hassaleh,1
star/j050148+434912,Almaaz,1
star/j050224+410448,Saclateni,1
star/j050636+411348,Haedus,1
star/j050748-050524,Cursa,1
star/j052512+062100,Bellatrix,1
star/j052812-204536,Nihal,1
star/j053148-001800,Mintaka,1
star/j053524+095548,Meissa,1
star/j053524-055436,Hatysa,1
star/j053748+210824,Tianguan,1
star/j053936-340412,Phact,1
star/j054048-015624,Alnitak,1
star/j055100-354612,Wazn,1
star/j055924+445700,Menkalinan,1
star/j060000+371236,Mahasim,1
star/j060748-371500,Elkurud,1
star/j061500+223036,Propus,1
star/j062024-300336,Furud,1
star/j062248+223036,Tejat,1
star/j062248-175736,Mirzam,1
star/j064348+250748,Mebsuta,1
star/j064500+125400,Alzirr,1
star/j070148-275548,Nganurganity,1
star/j070336-153748,Muliphein,1
star/j070412+203412,Mekbuda,1
star/j070824-262324,Wezen,1
star/j072024+215848,Wasat,1
star/j072400-291800,Aludra,1
star/j072700+081724,Gomeisa,1
star/j073900+343448,Jishui,1
star/j074912-245136,Azmidi,1
star/j080336-400000,Naos,1
star/j080748-241800,Tureis,1
star/j081200+173900,Tegmine,1
star/j081648+091124,Tarf,1
star/j082024+240112,Piautos,1
star/j082248+431124,Alsciaukat,1
star/j082248-593036,Avior,1
star/j083000+604312,Muscida,1
star/j083900+032024,Minchir,1
star/j084312+212812,Asellus Borealis,1
star/j084424+180900,Asellus Australis,1
star/j084500-544236,Alsephina,1
star/j084648+062512,Ashlesha,1
star/j085248+281948,Copernicus,1
star/j085812+115136,Acubens,1
star/j085924+480224,Talitha,1
star/j090336+470936,Alkaphrah,1
star/j090748-432548,Suhail,1
star/j090936+220300,Nahn,1
star/j091312-694312,Miaplacidus,1
star/j091648-591648,Aspidiske,1
star/j092212-550036,Markeb,1
star/j092848+453600,Intercrus,1
star/j093148+225812,Alterf,1
star/j093936-010824,Ukdah,1
star/j094124+095324,Subra,1
star/j095136-145100,Zhang,1
star/j095248+260036,Rasalas,1
star/j095436-190036,Felis,1
star/j101648+232512,Adhafera,1
star/j101648+425436,Tania Borealis,1
star/j102212+413000,Tania Australis,1
star/j105324+341312,Praecipua,1
star/j105924+402548,Chalawan,1
star/j110000-181800,Alkes,1
star/j111424+152548,Chertan,1
star/j111424+203112,Zosma,1
star/j111800+313224,Alula Australis,1
star/j111836+330524,Alula Borealis,1
star/j113112+691948,Giausar,1
star/j114612+474648,Taiyangshou,1
star/j115024+014612,Zavijava,1
star/j120524+765436,Tonatiuh,1
star/j120824-244348,Alchiba,1
star/j121500-584500,Imai,1
star/j121536+570148,Megrez,1
star/j121536-173224,Gienah,1
star/j121948-004012,Zaniah,1
star/j122136-602400,Ginan,1
star/j123000-163112,Algorab,1
star/j123112-570636,Gacrux,1
star/j123336+412136,Chara,1
star/j123412-232400,Kraz,1
star/j124124-012700,Porrima,1
star/j124500+452624,La Superba,1
star/j124724+664724,Tianyi,1
star/j124800-594124,Mimosa,1
star/j125512+652624,Taiyi,1
star/j125548+032400,Minelauva,1
star/j125548+381912,Cor Caroli,1
star/j131012+173148,Diadem,1
star/j132400+545548,Mizar,1
star/j132512+545924,Alcor,1
star/j133448-003600,Heze,1
star/j135436+182400,Muphrid,1
star/j140412+642248,Thuban,1
star/j140636-362212,Menkent,1
star/j141236-101612,Kang,1
star/j141612+460524,Xuange,1
star/j141612-060000,Syrma,1
star/j141912-132212,Khambalia,1
star/j142812-021348,Elgafar,1
star/j143148+381836,Seginus,1
star/j143936-605024,Toliman,1
star/j144912+460712,Merga,1
star/j145100-160224,Zubenelgenubi,1
star/j150148+402324,Nekkar,1
star/j150412-251648,Brachium,1
star/j151648-092248,Zubeneschamali,1
star/j152100+714948,Pherkad,1
