object_id,name,is_primary
constellation/aquarius,Vattumannen,1
constellation/aquila,Örnen,1
constellation/bootes,Boötes,1
constellation/phoenix,Fenix,1
constellation/pisces,Fiskarna,1
constellation/piscis_austrinus,Södra Fisken,1
dso/blue_snowball_nebula,Blå snöbollsnebulosan,1
dso/coathanger,Klädstaken,1
dso/coathanger,Brocchi's Cluster,0
dso/coma_star_cluster,Coma-stjärnhopen,1
dso/coma_star_cluster,Coma Berenices Cluster,0
dso/cygnus_x_1,Svart håls-binär,1
dso/cygnus_x_1,Stellärt svart hål,0
dso/double_cluster,Dubbelhopen,1
dso/double_cluster,h och χ Persei,0
dso/double_cluster,NGC 869 & NGC 884,0
dso/eta_carinae_nebula,Eta Carinae-nebulosan,1
dso/eta_carinae_nebula,Carina-nebulosan,0
dso/exposed_cranium_nebula,Exponerad skallnebulosa,1
dso/ghost_of_jupiter,Jupiters spöke,1
dso/hdf,Hubble Deep Field,1
dso/hdf,Hubbles djupfält,0
dso/helix_nebula,Helix-nebulosan,1
dso/helix_nebula,Guds öga,0
dso/hyades,Hyader,1
dso/jewel_box,Juvelasken,1
dso/jewel_box,Herschels juvelask,0
dso/jewel_box,Kappa Crucis-hopen,0
dso/lmc,SMC,1
dso/lmc,Stora Magellanska molnet,0
dso/lmc,Nubecula Major,0
dso/m1,Krabbnebulosan,1
dso/m101,Vindmöllegalaxen,1
dso/m102,Spindelgalaxen,1
dso/m104,Sombrerogalaxen,1
dso/m11,Vildandsklustret,1
dso/m13,Herkulesklustret,1
dso/m13,Hercules-klustret,0
dso/m16,Örnnebulosan,1
dso/m20,Trifidnebulosan,1
dso/m24,Skyttens stjärnmoln,1
dso/m27,Hantelnebulosan,1
dso/m31,Andromedagalaxen,1
dso/m33,Triangelgalaxen,1
dso/m42,Orionnebulosan,1
dso/m43,De Mairans nebulosa,1
dso/m44,Bikupeklustret,1
dso/m44,Praesepe,0
dso/m45,Plejaderna,1
dso/m45,Sjusornas kluster,0
dso/m51,Virvelgalaxen,1
dso/m57,Ringnebulosan,1
dso/m6,Fjärilsklustret,1
dso/m63,Solrosgalaxen,1
dso/m64,Svartögegalaxen,1
dso/m7,Skorpionens svans,1
dso/m7,Ptolemaios-klustret,0
dso/m74,Fantomgalaxen,1
dso/m76,Lilla Hantelnebulosan,1
dso/m8,Lagunnebulosan,1
dso/m81,Bodes galax,1
dso/m82,Cigarrgalaxen,1
dso/m83,Södra Vindsnurran,1
dso/m97,Ugglenebulosan,1
dso/ngc_6543,Kattögonebulosan,1
dso/north_america_nebula,Nordamerika-nebulosan,1
dso/omega_centauri,Omega Centauri-klustret,1
dso/omega_centauri,ω Centauri,0
dso/saturn_nebula,Saturnusnebulosan,1
dso/sculptor_galaxy,Skulptörgalaxen,1
dso/sculptor_galaxy,Silver Dollar-galaxen,0
dso/sculptor_galaxy,Silver Coin-galaxen,0
dso/sgr_a_star,Sgr A*,1
dso/sgr_a_star,Svart hål,0
dso/sgr_a_star,Galaktiska centrum,0
dso/smc,Lilla Magellanska molnet,1
dso/smc,Nubecula Minor,0
dso/tarantula_nebula,Tarantelnebulosan,1
dso/tarantula_nebula,30 Doradus,0
dso/willman_1,Willman 1,1
dso/willman_1,Beth Willman-galaxen,0
moon/ganymede,Ganymedes,1
planet/mercury,Merkurius,1
planet/moon,Månen,1
planet/neptune,Neptunus,1
planet/saturn,Saturnus,1
planet/sun,Solen,1
shower/aquariids,Eta Aquariider,1
shower/deltaaquariids,Delta Aquariider,1
shower/geminids,Geminiderna,1
shower/leonids,Leoniderna,1
shower/lyrids,Lyrider,1
shower/orionids,Orionider,1
shower/perseids,Perseiden,1
shower/puppidvelids,Puppid-Velider,1
shower/quadrantids,Kvadrantider,1
shower/ursids,Ursider,1
star/polaris,Polaris,1
star/polaris,Polstjärnan,0
star/polaris,Polstjärnan,0
star/sirius,Sirius,1
star/sirius,Hundstjärnan,0
