object_id,name,is_primary
constellation/antlia,แอนทเลีย,1
constellation/apus,อาปุส,1
constellation/ara,อาร่า,1
constellation/aries,ราศีเมษ,1
constellation/auriga,ราศีเกวียน,1
constellation/bootes,ราศีโคลงเหล้า,1
constellation/caelum,แคเอลุม,1
constellation/camelopardalis,คาเมโลปาร์ดาลิส,1
constellation/cancer,ราศีกรกฎ,1
constellation/canes_venatici,สุนัขล่าสัตว์,1
constellation/canis_major,ราศีสุนัขใหญ่,1
constellation/canis_minor,สุนัขเล็ก,1
constellation/capricornus,ราศีมังกร,1
constellation/carina,ราศีเรือ,1
constellation/cassiopeia,ราศีแคสสิโอเปีย,1
constellation/centaurus,ราศีเคนทอรัส,1
constellation/cepheus,เซเฟอุส,1
constellation/cetus,กลุ่มดาววาฬ,1
constellation/chamaeleon,แคมาเลออน,1
constellation/circinus,เซอร์คินัส,1
constellation/columba,โคลัมบา,1
constellation/coma_berenices,โคมาเบเรนิเซส,1
constellation/corona_australis,มงกุฎใต้,1
constellation/crux,กลุ่มดาวกางเขน,1
constellation/cygnus,กลุ่มดาวหงส์,1
constellation/draco,กลุ่มดาวมังกร,1
constellation/eridanus,กลุ่มดาวแม่น้ำ,1
constellation/gemini,ราศีเมถุน,1
constellation/puppis,พุปปิส,1
constellation/sagittarius,ราศีธนู,1
constellation/scorpius,ราศีแมงป่อง,1
constellation/taurus,ราศีพฤษภ,1
constellation/triangulum,สามเหลี่ยม,1
constellation/triangulum_australe,สามเหลี่ยมใต้,1
constellation/tucana,ทูกานา,1
constellation/ursa_major,หมีใหญ่,1
constellation/ursa_minor,หมีน้อย,1
constellation/vela,เวลา,1
constellation/virgo,ราศีกันย์,1
constellation/volans,ปลาบิน,1
constellation/vulpecula,สุนัขจิ้งจอก,1
dso/blue_snowball_nebula,เนบิวลาลูกหิมะสีน้ำเงิน,1
dso/coathanger,เสื้อคลุมแขวน,1
dso/coathanger,กระจุกดาวบรอคคี,0
dso/coma_star_cluster,กระจุกดาวโคมาเบเรนิเซส,1
dso/coma_star_cluster,กระจุกดาวโคมา เบเรนิเซส,0
dso/cygnus_x_1,ระบบดาวคู่หลุมดำ,1
dso/cygnus_x_1,หลุมดำมวลดาวฤกษ์,0
dso/double_cluster,กระจุกดาวคู่,1
dso/double_cluster,h และ χ Persei,0
dso/double_cluster,NGC 869 & NGC 884,0
