object_id,name,is_primary
dso/blue_snowball_nebula,Caldwell 22,0
dso/blue_snowball_nebula,NGC 7662,0
dso/centaurus_a,NGC 5128,0
dso/coathanger,Collinder 399,0
dso/coathanger,Cr 399,0
dso/coma_star_cluster,Mel 111,0
dso/coma_star_cluster,Melotte 111,0
dso/cygnus_x_1,Cygnus X-1,0
dso/double_cluster,Caldwell 14,0
dso/double_cluster,NGC 869,0
dso/double_cluster,NGC 869 & NGC 884,0
dso/double_cluster,NGC 884,0
dso/eta_carinae_nebula,NGC 3372,0
dso/exposed_cranium_nebula,PMR 1,0
dso/ghost_of_jupiter,Caldwell 59,0
dso/ghost_of_jupiter,NGC 3242,0
dso/hdf,HDF,0
dso/helix_nebula,Caldwell 63,0
dso/helix_nebula,NGC 7293,0
dso/hyades,Caldwell 41,0
dso/hyades,Mel 25,0
dso/hyades,Melotte 25,0
dso/jewel_box,Kappa Crucis Cluster,0
dso/jewel_box,NGC 4755,0
dso/lmc,LMC,0
dso/m1,M1,0
dso/m1,NGC 1952,0
dso/m10,M10,1
dso/m10,NGC 6254,0
dso/m100,M100,1
dso/m100,NGC 4321,0
dso/m101,M101,0
dso/m101,NGC 5457,0
dso/m102,M102,1
dso/m102,NGC 5866,0
dso/m103,M103,1
dso/m103,NGC 581,0
dso/m104,M104,0
dso/m104,NGC 4594,0
dso/m105,M105,1
dso/m105,NGC 3379,0
dso/m106,M106,1
dso/m106,NGC 4258,0
dso/m107,M107,1
dso/m107,NGC 6171,0
dso/m108,M108,1
dso/m108,NGC 3556,0
dso/m109,M109,1
dso/m109,NGC 3992,0
dso/m11,M11,1
dso/m11,NGC 6705,0
dso/m110,M110,1
dso/m110,NGC 205,0
dso/m12,M12,1
dso/m12,NGC 6218,0
dso/m13,M13,0
dso/m13,NGC 6205,0
dso/m14,M14,1
dso/m14,NGC 6402,0
dso/m15,M15,1
dso/m15,NGC 7078,0
dso/m16,M16,0
dso/m16,NGC 6611,0
dso/m17,M17,1
dso/m17,NGC 6618,0
dso/m18,M18,1
dso/m18,NGC 6613,0
dso/m19,M19,1
dso/m19,NGC 6273,0
dso/m2,M2,1
dso/m2,NGC 7089,0
dso/m20,M20,1
dso/m20,NGC 6514,0
dso/m21,M21,1
dso/m21,NGC 6531,0
dso/m22,M22,1
dso/m22,NGC 6656,0
dso/m23,M23,1
dso/m23,NGC 6494,0
dso/m24,M24,1
dso/m25,M25,1
dso/m26,M26,1
dso/m26,NGC 6694,0
dso/m27,M27,1
dso/m27,NGC 6853,0
dso/m28,M28,1
dso/m28,NGC 6626,0
dso/m29,M29,1
dso/m29,NGC 6913,0
dso/m3,M3,1
dso/m3,NGC 5272,0
dso/m30,M30,1
dso/m30,NGC 7099,0
dso/m31,M31,0
dso/m31,NGC 224,0
dso/m32,M32,1
dso/m32,NGC 221,0
dso/m33,M33,1
dso/m33,NGC 598,0
dso/m34,M34,1
dso/m34,NGC 1039,0
dso/m35,M35,1
dso/m35,NGC 2168,0
dso/m36,M36,1
dso/m36,NGC 1960,0
dso/m37,M37,1
dso/m37,NGC 2099,0
dso/m38,M38,1
dso/m38,NGC 1912,0
dso/m39,M39,1
dso/m39,NGC 7092,0
dso/m4,M4,1
dso/m4,NGC 6121,0
dso/m40,M40,0
dso/m41,M41,1
dso/m41,NGC 2287,0
dso/m42,M42,0
dso/m42,NGC 1976,0
dso/m43,M43,1
dso/m43,NGC 1982,0
dso/m44,M44,0
dso/m44,NGC 2632,0
dso/m45,M45,0
dso/m46,M46,1
dso/m46,NGC 2437,0
dso/m47,M47,1
dso/m47,NGC 2422,0
dso/m48,M48,1
dso/m48,NGC 2548,0
dso/m49,M49,1
dso/m49,NGC 4472,0
dso/m5,M5,1
dso/m5,NGC 5904,0
dso/m50,M50,1
dso/m50,NGC 2323,0
dso/m51,M51,0
dso/m51,NGC 5194,0
dso/m52,M52,1
dso/m52,NGC 7654,0
dso/m53,M53,1
dso/m53,NGC 5024,0
dso/m54,M54,1
dso/m54,NGC 6715,0
dso/m55,M55,1
dso/m55,NGC 6809,0
dso/m56,M56,1
dso/m56,NGC 6779,0
dso/m57,M57,0
dso/m57,NGC 6720,0
dso/m58,M58,1
dso/m58,NGC 4579,0
dso/m59,M59,1
dso/m59,NGC 4621,0
dso/m6,M6,0
dso/m6,NGC 6405,0
dso/m60,M60,1
dso/m60,NGC 4649,0
dso/m61,M61,1
dso/m61,NGC 4303,0
dso/m62,M62,1
dso/m62,NGC 6266,0
dso/m63,M63,1
dso/m63,NGC 5055,0
dso/m64,M64,1
dso/m64,NGC 4826,0
dso/m65,M65,1
dso/m65,NGC 3623,0
dso/m66,M66,1
dso/m66,NGC 3627,0
dso/m67,M67,1
dso/m67,NGC 2682,0
dso/m68,M68,1
dso/m68,NGC 4590,0
dso/m69,M69,1
dso/m69,NGC 6637,0
dso/m7,M7,0
dso/m7,NGC 6475,0
dso/m70,M70,1
dso/m70,NGC 6681,0
dso/m71,M71,1
dso/m71,NGC 6838,0
dso/m72,M72,1
dso/m72,NGC 6981,0
dso/m73,M73,1
dso/m73,NGC 6994,0
dso/m74,M74,1
dso/m74,NGC 628,0
dso/m75,M75,1
dso/m75,NGC 6864,0
dso/m76,M76,1
dso/m76,NGC 650,0
dso/m77,M77,1
dso/m77,Cetus A,0
dso/m77,NGC 1068,0
dso/m78,M78,1
dso/m78,NGC 2068,0
dso/m79,M79,1
dso/m79,NGC 1904,0
dso/m8,M8,1
dso/m8,NGC 6523,0
dso/m80,M80,1
dso/m80,NGC 6093,0
dso/m81,M81,1
dso/m81,NGC 3031,0
dso/m82,M82,1
dso/m82,NGC 3034,0
dso/m83,M83,1
dso/m83,NGC 5236,0
dso/m84,M84,1
dso/m84,NGC 4374,0
dso/m85,M85,1
dso/m85,NGC 4382,0
dso/m86,M86,1
dso/m86,NGC 4406,0
dso/m87,M87,1
dso/m87,NGC 4486,0
dso/m87,Virgo A,0
dso/m88,M88,1
dso/m88,NGC 4501,0
dso/m89,M89,1
dso/m89,NGC 4552,0
dso/m9,M9,1
dso/m9,NGC 6333,0
dso/m90,M90,1
dso/m90,NGC 4569,0
dso/m91,M91,1
dso/m91,NGC 4548,0
dso/m92,M92,1
dso/m92,NGC 6341,0
dso/m93,M93,1
dso/m93,NGC 2447,0
dso/m94,M94,1
dso/m94,NGC 4736,0
dso/m95,M95,1
dso/m95,NGC 3351,0
dso/m96,M96,1
dso/m96,NGC 3368,0
dso/m97,M97,1
dso/m97,NGC 3587,0
dso/m98,M98,1
dso/m98,NGC 4192,0
dso/m99,M99,1
dso/m99,NGC 4254,0
dso/n47_tucanae,47 Tuc,0
dso/n47_tucanae,NGC 104,0
dso/ngc_2903,NGC 2903,1
dso/ngc_6543,NGC 6543,0
dso/north_america_nebula,Caldwell 20,0
dso/north_america_nebula,NGC 7000,0
dso/omega_centauri,NGC 5139,0
dso/omega_centauri,ω Centauri,0
dso/saturn_nebula,Caldwell 55,0
dso/saturn_nebula,NGC 7009,0
dso/sculptor_galaxy,NGC 253,0
dso/sgr_a_star,Sagittarius A*,0
dso/smc,SMC,0
dso/t_crb,T CrB,0
dso/tarantula_nebula,30 Doradus,0
dso/tarantula_nebula,NGC 2070,0
dso/v838_mon,V838 Mon,1
dso/v838_mon,V838 Monocerotis,0
star/achernar,Alpha Eridani,0
star/achernar,α Eri,0
star/acrux,Alpha1 Crucis,0
star/acrux,α1 Cru,0
star/adhara,21 CMa,0
star/adhara,Epsilon Canis Majoris,0
star/adhara,ε CMa,0
star/alcyone,25 Tau,0
star/alcyone,Eta Tauri,0
star/alcyone,η Tau,0
