id,ra_deg,dec_deg,magnitude,names
star/sirius,101.25,-16.71,-1.43,Sirius|Dog Star
star/canopus,96.0,-52.7,-0.62,Canopus
star/arcturus,213.90001,19.19,-0.1,Arcturus
star/rigil_kentaurus_a,219.9,-60.84,0.01,Rigil Kentaurus A|Rigel Kentaurus A|Alpha Centauri|Rigil Kent
star/vega,279.30002,38.78,0.03,Vega
star/rigel,78.6,-8.2,0.18,Rigel
star/procyon,114.899994,5.23,0.38,Procyon
star/betelgeuse,88.8,7.41,0.45,Betelgeuse
star/achernar,24.45,-57.24,0.45,Achernar
star/hadar,210.90001,-60.37,0.61,Hadar
star/capella,79.200005,46.0,0.71,Capella
star/altair,297.75,8.87,0.77,Altair
star/acrux,186.59999,-63.1,0.77,Acrux
star/aldebaran,69.0,16.51,0.85,Aldebaran
star/j051648+460036,79.200005,46.01,0.96,
star/spica,201.3,-11.16,0.98,Spica
star/antares,247.34999,-26.43,1.06,Antares
star/pollux,116.4,28.03,1.14,Pollux
star/fomalhaut,344.4,-29.62,1.16,Fomalhaut
star/deneb,310.35,45.28,1.25,Deneb
star/j124800-594124,192.0,-59.69,1.25,
star/j143936-605024,219.9,-60.84,1.34,
star/regulus,152.1,11.97,1.36,Regulus
star/adhara,104.7,-28.97,1.5,Adhara
star/j123112-570636,187.8,-57.11,1.59,
star/shaula,263.4,-37.1,1.62,Shaula
star/j052512+062100,81.3,6.35,1.64,
star/alnath,81.6,28.61,1.65,Alnath
star/j091312-694312,138.3,-69.72,1.67,
star/alnilam,84.0,-1.2,1.69,Alnilam
star/alnair,332.09998,-46.96,1.74,Alnair
star/j054048-015624,85.2,-1.94,1.74,
star/j080936-472024,122.399994,-47.34,1.75,
star/alioth,193.5,55.96,1.76,Alioth
star/mirphak,51.15,49.86,1.79,Mirphak
star/kaus_australis,276.0,-34.38,1.79,Kaus Australis
star/dubhe,165.90001,61.75,1.81,Dubhe
star/j070824-262324,107.1,-26.39,1.83,
star/alkaid,206.85,49.31,1.85,Alkaid
star/j082248-593036,125.700005,-59.51,1.86,
star/j173712-430000,264.30002,-43.0,1.86,
star/j055924+445700,89.85,44.95,1.9,
star/j164836-690148,252.15,-69.03,1.91,
star/alhena,99.450005,16.4,1.93,Alhena
star/j202548-564348,306.45,-56.73,1.94,
star/castor,113.7,31.89,1.94,Castor
star/polaris,37.95,89.26,1.97,Polaris|North Star|Pole Star
star/j062248-175736,95.700005,-17.96,1.98,
star/alphard,141.9,-8.66,1.99,Alphard
star/hamal,31.8,23.46,2.0,Hamal
star/algieba,154.95,19.84,2.01,Algieba
star/j084500-544236,131.25,-54.71,2.02,
star/diphda,10.950001,-17.99,2.04,Diphda
star/nunki,283.8,-26.3,2.05,Nunki
star/mirach,17.4,35.62,2.05,Mirach
star/j140636-362212,211.65,-36.37,2.06,
star/alpheratz,2.1,29.09,2.07,Alpheratz
star/j224236-465248,340.65,-46.88,2.07,
star/saiph,87.0,-9.67,2.07,Saiph
star/kochab,222.75,74.16,2.07,Kochab
star/rasalhague,263.7,12.56,2.08,Rasalhague
star/algol,47.100002,40.96,2.09,Algol
star/j020336+421948,30.9,42.33,2.1,
star/denebola,177.29999,14.57,2.14,Denebola
star/j005700+604312,14.25,60.72,2.15,
star/j124124-485736,190.34999,-48.96,2.2,
star/j091648-591648,139.2,-59.28,2.21,
star/j080336-400000,120.90001,-40.0,2.21,
star/alphekka,233.7,26.71,2.22,Alphekka
star/j202212+401536,305.55002,40.26,2.23,
star/j090748-432548,136.95,-43.43,2.23,
star/etamin,269.1,51.49,2.24,Etamin
star/shedir,10.2,56.54,2.24,Shedir
star/j132400+545548,201.0,54.93,2.25,
star/j053148-001800,82.950005,-0.3,2.25,
star/caph,2.25,59.15,2.27,Caph
star/j133936-532812,204.9,-53.47,2.29,
star/j165024-341724,252.6,-34.29,2.29,
star/j160036-223712,240.15001,-22.62,2.29,
star/j144200-472324,220.5,-47.39,2.3,
star/j143524-420936,218.85,-42.16,2.33,
star/izar,221.25,27.07,2.35,Izar
star/merak,165.45,56.38,2.37,Merak
star/enif,326.1,9.88,2.38,Enif
star/j174236-390148,265.65,-39.03,2.39,
star/ankaa,6.6,-42.31,2.4,Ankaa
star/phad,178.5,53.69,2.41,Phad
star/alderamin,319.65,62.59,2.44,Alderamin
star/scheat,345.9,28.08,2.44,Scheat
star/j204612+335812,311.55002,33.97,2.45,
star/j072400-291800,111.0,-29.3,2.45,
star/j092212-550036,140.55,-55.01,2.47,
star/markab,346.2,15.21,2.49,Markab
star/j163712-103412,249.30002,-10.57,2.54,
star/menkar,45.6,4.09,2.54,Menkar
star/j135548-471724,208.95001,-47.29,2.55,
star/j160524-194836,241.35,-19.81,2.56,
star/j111424+203112,168.59999,20.52,2.56,
star/arneb,83.25,-17.82,2.58,Arneb
star/j121536-173224,183.90001,-17.54,2.58,
star/j120824-504312,182.1,-50.72,2.58,
star/j190224-295248,285.6,-29.88,2.6,
star/j151648-092248,229.2,-9.38,2.61,
star/j015436+204836,28.65,20.81,2.64,
star/unukalhai,236.09999,6.43,2.64,Unukalhai
star/j060000+371236,90.0,37.21,2.65,
star/j053936-340412,84.899994,-34.07,2.65,
star/j123412-232400,188.54999,-23.4,2.65,
star/j012548+601424,21.449999,60.24,2.66,
star/j145848-430748,224.7,-43.13,2.68,
star/j135436+182400,208.65,18.4,2.68,
star/j045700+331012,74.25,33.17,2.69,
star/j123712-690824,189.3,-69.14,2.69,
star/j104648-492512,161.7,-49.42,2.69,
star/j173036-371800,262.65,-37.3,2.7,
star/j071724-370600,109.35,-37.1,2.71,
star/j194612+103636,296.55002,10.61,2.72,
