Sirius|Dog Star,-1.43,-16.71,101.25,-493.28958,2479.934,-759.07306
Canopus,-0.62,-52.7,96.0,-6073.333,57783.88,-76270.0
Arcturus,-0.1,19.19,213.90001,-8818.779,-5925.976,3697.8958
Rigil Kentaurus A|Rigel Kentaurus A|Alpha Centauri|Rigil Kent,0.01,-60.84,219.9,-504.63184,-421.93756,-1178.9043
Vega,0.03,38.78,279.30002,977.6011,-5969.845,4860.334
Rigel,0.18,-8.2,78.6,46359.992,229919.94,-33798.75
Procyon,0.38,5.23,114.899994,-1467.4901,3161.4375,319.0392
Betelgeuse,0.45,7.41,88.8,2721.7922,129936.97,16902.637
Achernar,0.45,-57.24,24.45,21718.514,9874.817,-37077.246
Hadar,0.61,-60.37,210.90001,-68312.93,-40884.465,-139973.1
Capella,0.71,46.0,79.200005,1684.3473,8829.662,9308.257
Altair,0.77,8.87,297.75,2364.6365,-4494.436,792.55255
Acrux,0.77,-63.1,186.59999,-44193.07,-5113.3047,-87690.45
Aldebaran,0.85,16.51,69.0,6858.1064,17865.977,5672.2886
,0.96,46.01,79.200005,1684.0428,8828.065,9309.825
Spica,0.98,-11.16,201.3,-73482.36,-28649.582,-15559.449
Antares,1.06,-26.43,247.34999,-63862.703,-153043.72,-82428.83
Pollux,1.14,28.03,116.4,-4058.2456,8175.282,4859.1157
Fomalhaut,1.16,-29.62,344.4,6438.828,-1797.7538,-3800.7466
Deneb,1.25,45.28,310.35,451066.88,-530939.9,703519.4
,1.25,-59.69,192.0,-53368.484,-11343.826,-93332.17
,1.34,-60.84,219.9,-504.63184,-421.93756,-1178.9043
Regulus,1.36,11.97,152.1,-20541.693,10876.264,4927.812
Adhara,1.5,-28.97,104.7,-29326.998,111787.89,-63982.84
,1.59,-57.11,187.8,-14504.583,-1986.8805,-22638.705
Shaula,1.62,-37.1,263.4,-19757.188,-170756.1,-130003.38
,1.64,6.35,81.3,11202.799,73210.63,8242.032
Alnath,1.65,28.61,81.6,5152.9346,34895.59,19239.996
,1.67,-69.72,138.3,-8819.597,7857.9727,-31967.379
Alnilam,1.69,-1.2,84.0,43006.1,409175.9,-8618.214
Alnair,1.74,-46.96,332.09998,18752.795,-9929.106,-22722.975
,1.74,-1.94,85.2,20960.164,249607.86,-8484.564
,1.75,-47.34,122.399994,-93582.055,147461.75,-189531.52
Alioth,1.76,55.96,193.5,-13504.207,-3242.0725,20558.732
Mirphak,1.79,49.86,51.15,73391.49,91117.67,138743.94
Kaus Australis,1.79,-34.38,276.0,3826.0022,-36402.016,-25043.51
Dubhe,1.81,61.75,165.90001,-17402.947,4371.3154,33394.566
,1.83,-26.39,107.1,-144724.1,470433.16,-244218.92
Alkaid,1.85,49.31,206.85,-17956.428,-9090.121,23407.121
,1.86,-59.51,125.700005,-57380.652,79853.625,-167000.89
,1.86,-43.0,264.30002,-6057.981,-60693.316,-56878.66
,1.9,44.95,89.85,46.654507,17820.418,17789.404
,1.91,-69.03,252.15,-13974.603,-43395.605,-118952.695
Alhena,1.93,16.4,99.450005,-5060.6953,30404.473,9071.631
,1.94,-56.73,306.45,18310.533,-24790.467,-46971.797
Castor,1.94,31.89,113.7,-5395.625,12291.581,8352.268
Polaris|North Star|Pole Star,1.97,89.26,37.95,1347.1561,1050.6217,132268.97
,1.98,-17.96,95.700005,-14468.7,144957.5,-47221.168
Alphard,1.99,-8.66,141.9,-42282.305,33153.57,-8183.5225
Hamal,2.0,23.46,31.8,15756.506,9769.447,8045.7764
Algieba,2.01,19.84,154.95,-32825.426,15341.637,13073.481
,2.02,-54.71,131.25,-9313.351,10619.844,-19957.027
Diphda,2.04,-17.99,10.950001,27434.865,5307.956,-9074.041
Nunki,2.05,-26.3,283.8,14708.04,-59880.465,-30474.445
Mirach,2.05,35.62,17.4,47410.758,14857.63,35596.703
,2.06,-36.37,211.65,-12804.131,-7892.563,-11077.1875
